class_name,code_lines,fields_num,methods_num
1,40,1,1
2,48,0,2
3,9,0,1
DuplicateFieldException,8,1,0
UnknownFieldException,8,1,0
FieldLocation,43,2,2
FieldInfo,10,2,0
ArraysList,21,2,1
MappingList,52,3,3
AbstractReflectionConverter,692,5,15
WithFields,9,2,1
SubClassWithFields,4,1,0
SubClassWithHiddenFields,7,1,1
PublicStaticInnerClass,1,0,0
AbstractReflectionProviderTest,121,1,10
1,9,0,1
CGLIBFilteringReflectionProvider,19,0,1
ReverseEngineeringInvocationHandler,16,2,1
ReverseEngineeredCallbackFilter,20,1,1
CGLIBEnhancedConverter,442,3,11
1,34,0,5
2,32,0,5
ExternalizableConverter,171,3,4
DictionaryEntry,20,2,2
FieldDictionary,182,3,10
SomeClass,7,5,0
SpecialClass,3,1,0
InnerClass,3,1,0
AssertNoDuplicateHashMap,7,0,1
A,1,1,0
B,1,1,0
C,1,1,0
D,1,1,0
E,1,1,0
F,1,1,0
G,1,1,0
H,1,1,0
I,1,1,0
J,1,1,0
BB,1,1,0
CC,1,1,0
DD,1,1,0
EE,1,1,0
FF,1,1,0
GG,1,1,0
HH,1,1,0
II,1,1,0
JJ,1,1,0
JJJ,1,1,0
1,6,0,1
2,26,0,1
FieldDictionaryTest,167,1,7
FieldKey,83,4,7
ImmutableFieldKeySorter,8,0,1
LambdaConverter,29,0,2
MissingFieldException,40,3,2
1,11,0,1
NativeFieldKeySorter,20,0,1
Base,5,3,0
First,3,1,0
Second,4,2,0
NativeFieldKeySorterTest,46,0,2
ObjectAccessException,11,1,0
OuterClass,1,0,0
1,6,0,1
PureJavaReflectionProvider,158,2,13
PrivateStaticInnerClass,1,0,0
PublicNonStaticInnerClass,1,0,0
PrivateNonStaticInnerClass,1,0,0
WithConstructorThatDoesStuff,5,0,0
WithoutDefaultConstructor,4,0,0
WithPrivateDefaultConstructor,8,0,0
SerializableWithoutDefaultConstructor,10,3,0
NonStaticSerializableWithoutDefaultConstructor,8,1,0
WithFinalField,11,1,1
PureJavaReflectionProviderTest,123,0,9
ReflectionConverter,26,1,1
World,18,16,0
TypesOfFields,6,4,0
1,12,0,2
CustomReflectionConverter,6,0,0
ReflectionConverterTest,139,0,4
ReflectionProviderWrapper,48,1,7
SelfStreamingInstanceChecker,7,0,0
1,103,0,5
1,10,0,1
2,121,0,5
1,9,0,1
UnserializableParentsReflectionProvider,19,0,1
SerializableConverter,464,10,9
SimpleType,29,3,6
ExtendedType,20,2,4
SimpleNamedFieldsType,40,4,6
SerializableType,4,2,0
SerializableConverterTest,325,0,9
SerializationMethodInvoker,63,1,7
FieldComparator,36,2,2
SortableFieldKeySorter,74,2,3
Base,3,1,0
Child,1,0,0
Mother,3,2,0
SortableFieldKeySorterTest,76,0,5
Sun14ReflectionProvider,22,0,1
SunLimitedUnsafeReflectionProvider,74,2,3
WithFinalFields,24,9,0
Unistantiatable,15,0,0
SunLimitedUnsafeReflectionProviderTest,87,0,3
SunUnsafeReflectionProvider,89,1,5
SunUnsafeReflectionProviderTest,9,0,1
1,11,0,1
XStream12FieldKeySorter,22,0,1
AbstractChronoLocalDateConverter,47,1,3
ChronologyConverter,26,0,3
DurationConverter,18,0,2
HijrahDateConverter,39,1,4
InstantConverter,18,0,2
JapaneseDateConverter,24,0,4
JapaneseEraConverter,21,0,2
LocalDateConverter,19,0,2
LocalDateTimeConverter,37,1,3
LocalTimeConverter,37,1,3
MinguoDateConverter,24,0,4
MonthDayConverter,18,0,2
OffsetDateTimeConverter,38,1,3
OffsetTimeConverter,38,1,3
PeriodConverter,18,0,2
SystemClockConverter,36,2,3
ThaiBuddhistDateConverter,24,0,4
ValueRangeConverter,58,1,4
WeekFieldsConverter,61,1,3
YearConverter,18,0,2
YearMonthConverter,18,0,2
ZoneIdConverter,30,0,3
ZonedDateTimeConverter,42,1,3
ConversionException,15,1,0
ConversionExceptionTest,30,0,2
ErrorWritingException,114,3,7
SingleValueConverterWrapper,41,1,6
ArrayIterator,25,3,3
Base64Encoder,121,3,4
Base64EncoderTest,161,1,19
Base64JAXBCodec,12,0,2
Base64JAXBCodecTest,104,1,12
Base64JavaUtilCodec,38,2,2
Base64JavaUtilCodecTest,104,1,12
Replacement,7,0,1
ClassLoaderReference,52,1,4
Cloneables,38,0,2
CloneableTypedNull,10,0,1
UncloneableTypedNull,5,0,0
CloneablesTest,60,0,7
CompositeClassLoader,91,2,4
CustomGetField,68,1,12
CustomObjectInputStream,327,3,36
CustomPutField,59,1,11
CustomObjectOutputStream,248,3,27
DefaultDriver,8,0,2
1,6,0,1
TypedValue,15,2,1
DependencyInjectionFactory,257,0,3
Thing,39,3,3
DependencyInjectionFactoryTest,171,0,10
FastField,51,2,5
FastStack,78,2,12
FastStackTest,19,0,1
Fields,74,0,5
HierarchicalStreams,26,0,2
ISO8601JavaTimeConverter,242,14,3
ISO8601JodaTimeConverter,88,2,3
IdWrapper,30,2,4
WeakIdWrapper,25,1,3
ObjectIdDictionary,108,2,6
ObjectIdDictionaryTest,42,0,3
ArraySet,3,1,0
OrderRetainingMap,76,3,7
OrderRetainingMapTest,70,1,8
Pool,73,5,3
ArraySet,3,1,0
1,17,0,3
ArraySetComparator,34,2,1
PresortedMap,176,2,18
PresortedSet,124,2,21
Primitives,78,4,5
PrioritizedItem,36,3,3
PrioritizedItemIterator,24,1,3
PrioritizedList,81,3,2
PrioritizedListTest,69,0,5
QuickWriter,91,3,7
QuickWriterTest,14,0,1
SelfStreamingInstanceChecker,46,3,4
1,5,0,1
SerializationMembers,211,7,11
1,16,0,1
ThreadSafePropertyEditor,53,2,3
1,9,0,1
ThreadSafeSimpleDateFormat,60,3,4
1,7,0,1
2,27,0,1
ThreadSafeSimpleDateFormatTest,87,0,2
TypedNull,12,1,1
Types,8,1,1
1,8,0,1
2,9,0,1
3,11,0,1
1,19,0,3
4,29,0,1
Type,1,3,0
WeakCache,198,1,15
WeakCacheTest,155,0,7
XmlHeaderAwareReader,228,10,16
XmlHeaderAwareReaderTest,61,0,7
1,55,0,9
Id,17,2,2
ReferencedImplicitElementException,9,1,0
AbstractReferenceMarshaller,128,4,4
AbstractReferenceUnmarshaller,60,3,3
AbstractTreeMarshallingStrategy,22,0,4
ClassLoaderReference,23,1,3
DefaultConverterLookup,82,3,5
DefaultConverterLookupTest,18,0,1
EvilClass,10,0,1
Test,24,9,0
1,6,0,1
JVM,614,18,38
JVMTest,10,0,1
MapBackedDataHolder,26,1,3
List,4,2,0
ReferenceByIDMarshallingStrategyTest,46,0,3
ReferenceByIdMarshaller,38,1,3
ReferenceByIdMarshallingStrategy,14,0,2
ReferenceByIdUnmarshaller,19,0,2
ReferenceByXPathMarshaller,31,1,3
ReferenceByXPathMarshallingStrategy,23,4,2
Thing,12,2,0
CountingXPathStrategy,29,2,2
DomainType,8,2,0
ReferenceByXPathMarshallingStrategyTest,202,0,8
ReferenceByXPathUnmarshaller,28,2,2
SequenceGenerator,14,1,1
CircularReferenceException,7,1,0
TreeMarshaller,95,5,9
Thing,3,1,0
TreeMarshallerTest,26,0,2
TreeMarshallingStrategy,14,0,2
TreeUnmarshaller,124,7,13
AddressBook,21,1,2
Address,34,2,4
TreeUnmarshallerTest,89,0,2
HibernatePersistentCollectionConverter,26,0,2
HibernatePersistentMapConverter,22,0,2
HibernatePersistentSortedMapConverter,22,0,2
HibernatePersistentSortedSetConverter,22,0,2
HibernateProxyConverter,18,0,3
HibernateMapper,44,1,2
Hibernate,48,11,2
BinaryStreamDriver,28,0,4
IdRegistry,17,1,2
BinaryStreamReader,206,5,17
BinaryStreamTest,58,1,3
IdRegistry,16,2,1
BinaryStreamWriter,83,3,9
State,8,6,0
Attribute,4,2,0
1,17,0,3
ReaderDepthState,131,2,15
Formatter,44,0,3
MapIdToValue,25,0,2
StartNode,22,0,2
EndNode,15,0,2
Attribute,25,0,2
Value,22,0,2
Token,298,17,12
TokenTest,88,3,11
HierarchicalStreamCopier,19,0,1
HierarchicalStreamCopierTest,35,1,2
Type,6,4,0
StackElement,9,2,0
IllegalWriterStateException,40,1,1
AbstractJsonWriter,646,18,16
JettisonMappedXmlDriver,134,4,6
Topic,6,4,0
SpecialCharacters,5,2,0
JettisonMappedXmlDriverTest,290,3,24
JettisonStaxWriter,92,2,3
JsonHierarchicalStreamDriver,58,0,6
Message,26,20,0
MenuWithList,5,3,0
PopupWithList,9,1,0
MenuWithArray,5,3,0
PopupWithArray,5,1,0
MenuWithSet,5,3,0
PopupWithSet,10,1,0
MenuItem,15,2,1
Widget,6,4,0
Window,6,4,0
Image,7,5,0
Text,10,8,0
Msg,8,2,0
ElementWithEmptyArray,3,1,0
MapHolder,3,1,0
CollectionKeeper,3,1,0
Person,6,4,0
SingleValue,4,2,0
SystemAttributes,5,3,0
JsonHierarchicalStreamDriverTest,708,7,28
JsonHierarchicalStreamWriter,42,0,0
Format,88,6,4
JsonWriter,360,4,14
YString,12,1,1
HandlerConverter,34,0,3
JsonWriterFormatTest,339,5,4
1,9,0,1
2,9,0,1
JsonWriterModeDroppingRootTest,127,0,8
JsonWriterModeTest,149,4,9
NameCoderWrapper,35,1,4
NoNameCoder,23,0,4
StaticNameCoder,67,4,6
StaticNameCoderTest,72,0,5
Path,170,4,9
1,11,0,1
PathTest,88,0,2
PathTracker,134,5,7
PathTrackerTest,139,1,4
PathTrackingReader,29,1,3
PathTrackingReaderTest,49,0,2
PathTrackingWriter,29,2,3
PathTrackingWriterTest,59,3,4
Xpp3Dom,11,1,0
Xpp3DomBuilder,15,0,1
XppDom,204,7,16
XppDomComparator,132,1,2
XppDomComparatorTest,226,2,17
XppFactory,58,0,4
Pointer,3,1,0
AbstractDocumentReader,88,2,11
AbstractDocumentWriter,88,2,8
AbstractDocumentWriterTest,116,2,10
Event,4,2,0
AbstractPullReader,214,10,15
AbstractReaderTest,238,0,15
AbstractStaxReaderTest,116,0,6
AbstractStaxWriterTest,124,3,11
AbstractXMLReaderTest,144,2,14
AbstractXMLWriterTest,106,1,10
AbstractXmlDriver,44,0,1
AbstractXmlReader,43,0,2
AbstractXmlWriter,32,0,1
AbstractXppDomDriver,55,0,5
AbstractXppDriver,51,0,5
BEAStaxDriver,67,0,2
BEAStaxReaderTest,37,0,6
BEAStaxWriterTest,32,0,4
